State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Date Local,Time Local,Date GMT,Time GMT,Sample Measurement,Units of Measure,MDL,Uncertainty,Qualifier,Method Type,Method Code,Method Name,State Name,County Name,Date of Last Change
11,1,51,88101,1,38.89477,-76.953426,NAD83,PM2.5 - Local Conditions,1/1/2020,0:00,1/1/2020,5:00,2,Micrograms/cubic meter (LC),5,,,FEM,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C - Beta Attenuation,District Of Columbia,District of Columbia,5/7/2020
11,1,51,88101,1,38.89477,-76.953426,NAD83,PM2.5 - Local Conditions,1/1/2020,1:00,1/1/2020,6:00,2,Micrograms/cubic meter (LC),5,,,FEM,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C - Beta Attenuation,District Of Columbia,District of Columbia,5/7/2020
11,1,51,88101,1,38.89477,-76.953426,NAD83,PM2.5 - Local Conditions,1/1/2020,2:00,1/1/2020,7:00,1,Micrograms/cubic meter (LC),5,,,FEM,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C - Beta Attenuation,District Of Columbia,District of Columbia,5/7/2020
11,1,51,88101,1,38.89477,-76.953426,NAD83,PM2.5 - Local Conditions,1/1/2020,3:00,1/1/2020,8:00,1,Micrograms/cubic meter (LC),5,,,FEM,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C - Beta Attenuation,District Of Columbia,District of Columbia,5/7/2020
11,1,51,88101,1,38.89477,-76.953426,NAD83,PM2.5 - Local Conditions,1/1/2020,4:00,1/1/2020,9:00,3,Micrograms/cubic meter (LC),5,,,FEM,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C - Beta Attenuation,District Of Columbia,District of Columbia,5/7/2020
11,1,51,88101,1,38.89477,-76.953426,NAD83,PM2.5 - Local Conditions,1/1/2020,5:00,1/1/2020,10:00,3,Micrograms/cubic meter (LC),5,,,FEM,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C - Beta Attenuation,District Of Columbia,District of Columbia,5/7/2020
11,1,51,88101,1,38.89477,-76.953426,NAD83,PM2.5 - Local Conditions,1/1/2020,6:00,1/1/2020,11:00,1,Micrograms/cubic meter (LC),5,,,FEM,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C - Beta Attenuation,District Of Columbia,District of Columbia,5/7/2020
11,1,51,88101,1,38.89477,-76.953426,NAD83,PM2.5 - Local Conditions,1/1/2020,7:00,1/1/2020,12:00,3,Micrograms/cubic meter (LC),5,,,FEM,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C - Beta Attenuation,District Of Columbia,District of Columbia,5/7/2020
11,1,51,88101,1,38.89477,-76.953426,NAD83,PM2.5 - Local Conditions,1/1/2020,8:00,1/1/2020,13:00,2,Micrograms/cubic meter (LC),5,,,FEM,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C - Beta Attenuation,District Of Columbia,District of Columbia,5/7/2020
11,1,51,88101,1,38.89477,-76.953426,NAD83,PM2.5 - Local Conditions,1/1/2020,9:00,1/1/2020,14:00,6,Micrograms/cubic meter (LC),5,,,FEM,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C - Beta Attenuation,District Of Columbia,District of Columbia,5/7/2020
11,1,51,88101,1,38.89477,-76.953426,NAD83,PM2.5 - Local Conditions,1/1/2020,10:00,1/1/2020,15:00,1,Micrograms/cubic meter (LC),5,,,FEM,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C - Beta Attenuation,District Of Columbia,District of Columbia,5/7/2020
11,1,51,88101,1,38.89477,-76.953426,NAD83,PM2.5 - Local Conditions,1/1/2020,11:00,1/1/2020,16:00,0,Micrograms/cubic meter (LC),5,,,FEM,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C - Beta Attenuation,District Of Columbia,District of Columbia,5/7/2020
11,1,51,88101,1,38.89477,-76.953426,NAD83,PM2.5 - Local Conditions,1/1/2020,12:00,1/1/2020,17:00,5,Micrograms/cubic meter (LC),5,,,FEM,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C - Beta Attenuation,District Of Columbia,District of Columbia,5/7/2020
11,1,51,88101,1,38.89477,-76.953426,NAD83,PM2.5 - Local Conditions,1/1/2020,13:00,1/1/2020,18:00,4,Micrograms/cubic meter (LC),5,,,FEM,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C - Beta Attenuation,District Of Columbia,District of Columbia,5/7/2020
11,1,51,88101,1,38.89477,-76.953426,NAD83,PM2.5 - Local Conditions,1/1/2020,14:00,1/1/2020,19:00,0,Micrograms/cubic meter (LC),5,,,FEM,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C - Beta Attenuation,District Of Columbia,District of Columbia,5/7/2020
11,1,51,88101,1,38.89477,-76.953426,NAD83,PM2.5 - Local Conditions,1/1/2020,15:00,1/1/2020,20:00,2,Micrograms/cubic meter (LC),5,,,FEM,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C - Beta Attenuation,District Of Columbia,District of Columbia,5/7/2020
11,1,51,88101,1,38.89477,-76.953426,NAD83,PM2.5 - Local Conditions,1/1/2020,16:00,1/1/2020,21:00,3,Micrograms/cubic meter (LC),5,,,FEM,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C - Beta Attenuation,District Of Columbia,District of Columbia,5/7/2020
11,1,51,88101,1,38.89477,-76.953426,NAD83,PM2.5 - Local Conditions,1/1/2020,17:00,1/1/2020,22:00,1,Micrograms/cubic meter (LC),5,,,FEM,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C - Beta Attenuation,District Of Columbia,District of Columbia,5/7/2020
11,1,51,88101,1,38.89477,-76.953426,NAD83,PM2.5 - Local Conditions,1/1/2020,18:00,1/1/2020,23:00,2,Micrograms/cubic meter (LC),5,,,FEM,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C - Beta Attenuation,District Of Columbia,District of Columbia,5/7/2020
11,1,51,88101,1,38.89477,-76.953426,NAD83,PM2.5 - Local Conditions,1/1/2020,19:00,1/2/2020,0:00,3,Micrograms/cubic meter (LC),5,,,FEM,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C - Beta Attenuation,District Of Columbia,District of Columbia,5/7/2020
11,1,51,88101,1,38.89477,-76.953426,NAD83,PM2.5 - Local Conditions,1/1/2020,20:00,1/2/2020,1:00,12,Micrograms/cubic meter (LC),5,,,FEM,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C - Beta Attenuation,District Of Columbia,District of Columbia,5/7/2020
11,1,51,88101,1,38.89477,-76.953426,NAD83,PM2.5 - Local Conditions,1/1/2020,21:00,1/2/2020,2:00,9,Micrograms/cubic meter (LC),5,,,FEM,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C - Beta Attenuation,District Of Columbia,District of Columbia,5/7/2020
11,1,51,88101,1,38.89477,-76.953426,NAD83,PM2.5 - Local Conditions,1/1/2020,22:00,1/2/2020,3:00,14,Micrograms/cubic meter (LC),5,,,FEM,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C - Beta Attenuation,District Of Columbia,District of Columbia,5/7/2020
11,1,51,88101,1,38.89477,-76.953426,NAD83,PM2.5 - Local Conditions,1/1/2020,23:00,1/2/2020,4:00,13,Micrograms/cubic meter (LC),5,,,FEM,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C - Beta Attenuation,District Of Columbia,District of Columbia,5/7/2020
